node_name	node_type	
DB01235	drug	
DRD5	drug_target	
SLC7A8	drug_target	
ALB	drug_target	
DRD4	drug_target	
SLC7A5	drug_target	
DRD2	drug_target	
DRD3	drug_target	
DRD1	drug_target	
SLC16A10	drug_target	
DDC	drug_target	
Opiate Addiction	phenotype	
Nicotine Dependence	phenotype	
Heroin Dependence	phenotype	
Psychoses, Substance-Induced	phenotype	
Substance Use Disorders	phenotype	
MAJOR AFFECTIVE DISORDER 4	phenotype	
MAJOR AFFECTIVE DISORDER 5	phenotype	
MAJOR AFFECTIVE DISORDER 6	phenotype	
Major affective disorder 7	phenotype	
MAJOR AFFECTIVE DISORDER 8	phenotype	
MAJOR AFFECTIVE DISORDER 9	phenotype	
Substance addiction and disorders	phenotype	
Weight Gain Adverse Event	phenotype	
Alcohol abuse	phenotype	
Marijuana Abuse	phenotype	
Dyskinesia, seizures, and intellectual developmental disorder	phenotype	
Dyskinesia, Drug-Induced	phenotype	
Cocaine Dependence	phenotype	
As If Personality	phenotype	
Tardive Dyskinesia	phenotype	
Drug Dependence	phenotype	
Common Migraine	phenotype	
Orofacial dyskinesia	phenotype	
Amphetamine-Related Disorders	phenotype	
Personality disorder	phenotype	
Antisocial/borderline personality disorder	phenotype	
Substance abuse problem	phenotype	
Methamphetamine abuse	phenotype	
Drug usage	phenotype	
Migraine Disorders	phenotype	
Panic disorder syndrome 1 (2)	phenotype	
Hypotension	phenotype	
Tourette Syndrome	phenotype	
Bipolar I disorder	phenotype	
NEUROTICISM	phenotype	
Schizoaffective Disorder	phenotype	
Bulimia	phenotype	
Obsessive-compulsive disorder	phenotype	
Polyphagia	phenotype	
Mood Disorders	phenotype	
Generalized anxiety disorder	phenotype	
Cycloid psychosis	phenotype	
Psychotic Disorders	phenotype	
Increased body weight	phenotype	
Sleep Wake Disorders	phenotype	
Attention deficit hyperactivity disorder	phenotype	
Antisocial Personality Disorder	phenotype	
Cocaine delirium	phenotype	
heavy drinking	phenotype	
Chronic schizophrenia	phenotype	
Anorexia nervosa 1	phenotype	
Depressive Disorder	phenotype	
Hyperactivity	phenotype	
alcohol use disorder	phenotype	
Bulimia nervosa 1	phenotype	
Anxiety Disorders	phenotype	
Cocaine-Related Disorders	phenotype	
Delusions	phenotype	
Malnutrition	phenotype	
Unipolar Depression	phenotype	
Autism spectrum disorders	phenotype	
Conduct Disorder	phenotype	
Mental disorders	phenotype	
Prenatal Exposure Delayed Effects	phenotype	
Abnormality of the basal ganglia	phenotype	
CNS symptom	phenotype	
Cognition Disorders	phenotype	
Major depressive disorder	phenotype	
Pharyngeal Neoplasms	phenotype	
Substance-Related Disorders	phenotype	
Huntington's chorea	phenotype	
Language impairment	phenotype	
Osteochondritis dissecans	phenotype	
Borderline Personality Disorder	phenotype	
Abnormality of extrapyramidal motor function	phenotype	
