Gene	CUI	Source Databases	
MTHFR	C0019880	Homocystinuria due to CBS deficiency	DisGeNet,HumPhenOnt	
MTR	C0019880	Homocystinuria due to CBS deficiency	DisGeNet,HumPhenOnt	
MTRR	C0019880	Homocystinuria due to CBS deficiency	ClinVar,DisGeNet,HumPhenOnt	
MTHFR	C4021660	Abnormality of sulfur amino acid metabolism	HumPhenOnt	
MTR	C4021660	Abnormality of sulfur amino acid metabolism	HumPhenOnt	
MTRR	C4021660	Abnormality of sulfur amino acid metabolism	HumPhenOnt	
MTHFR	C0031485	Phenylketonuria	DisGeNet	
MTR	C0031485	Phenylketonuria	DisGeNet	
MTRR	C0031485	Phenylketonuria	DisGeNet	
MTHFR	C0002888	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness	DisGeNet	
MTR	C0002888	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness	HumPhenOnt	
MTRR	C0002888	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness	DisGeNet,HumPhenOnt	
MTHFR	C0016412	Folic Acid Deficiency	DisGeNet	
MTR	C0016412	Folic Acid Deficiency	DisGeNet	
MTRR	C0016412	Folic Acid Deficiency	DisGeNet	
MTHFR	C0340708	Deep vein thrombosis of lower limb	DisGeNet	
MTR	C0340708	Deep vein thrombosis of lower limb	DisGeNet	
MTRR	C0340708	Deep vein thrombosis of lower limb	DisGeNet	
MTHFR	C0151950	Deep thrombophlebitis	DisGeNet	
MTR	C0151950	Deep thrombophlebitis	DisGeNet	
MTRR	C0151950	Deep thrombophlebitis	DisGeNet	
MTHFR	C0600518	Choroidal Neovascularization	DisGeNet	
MTR	C0600518	Choroidal Neovascularization	DisGeNet	
MTRR	C0600518	Choroidal Neovascularization	DisGeNet	
MTHFR	C0162316	Iron deficiency anemia	DisGeNet	
MTR	C0162316	Iron deficiency anemia	DisGeNet	
MTRR	C0162316	Iron deficiency anemia	DisGeNet	
MTHFR	C0025284	Meningeal Neoplasms	DisGeNet	
MTR	C0025284	Meningeal Neoplasms	DisGeNet	
MTRR	C0025284	Meningeal Neoplasms	DisGeNet	
MTHFR	C0741916	Cardiac defects	DisGeNet	
MTR	C0741916	Cardiac defects	DisGeNet	
MTRR	C0741916	Cardiac defects	DisGeNet	
MTHFR	C0750974	Brain Tumor, Primary	DisGeNet	
MTR	C0750974	Brain Tumor, Primary	DisGeNet	
MTRR	C0750974	Brain Tumor, Primary	DisGeNet	
MTHFR	C0041755	Adverse drug events and drug allergies	DisGeNet	
MTR	C0041755	Adverse drug events and drug allergies	DisGeNet	
MTRR	C0041755	Adverse drug events and drug allergies	DisGeNet	
MTHFR	C1332977	Childhood Leukemia	DisGeNet	
MTR	C1332977	Childhood Leukemia	DisGeNet	
MTRR	C1332977	Childhood Leukemia	DisGeNet	
