Gene	CUI	Source Databases	
ALB	C0342257	Complications of Diabetes Mellitus	DisGeNet	
IFNG	C0342257	Complications of Diabetes Mellitus	DisGeNet	
IL2	C0342257	Complications of Diabetes Mellitus	DisGeNet	
LTA	C0342257	Complications of Diabetes Mellitus	DisGeNet	
NOS3	C0342257	Complications of Diabetes Mellitus	DisGeNet	
TNF	C0342257	Complications of Diabetes Mellitus	DisGeNet	
IFNG	C0038363	Oral aphthae	DisGeNet	
IL2	C0038363	Oral aphthae	DisGeNet	
LTA	C0038363	Oral aphthae	DisGeNet	
TNF	C0038363	Oral aphthae	DisGeNet	
ALB	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
CYP3A4	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
IFNG	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
IL2	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
TNF	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
ALB	C0162557	Acute hepatic failure	DisGeNet	
CYP3A4	C0162557	Acute hepatic failure	DisGeNet	
IFNG	C0162557	Acute hepatic failure	DisGeNet	
LTA	C0162557	Acute hepatic failure	DisGeNet	
NOS3	C0162557	Acute hepatic failure	DisGeNet	
TNF	C0162557	Acute hepatic failure	DisGeNet	
IFNG	C0015674	Chronic Fatigue Syndrome	DisGeNet	
IL2	C0015674	Chronic Fatigue Syndrome	DisGeNet	
LTA	C0015674	Chronic Fatigue Syndrome	DisGeNet	
TNF	C0015674	Chronic Fatigue Syndrome	DisGeNet	
IFNG	C0042384	Vasculitis	DisGeNet	
IL2	C0042384	Vasculitis	DisGeNet	
LTA	C0042384	Vasculitis	DisGeNet	
LTB	C0042384	Vasculitis	DisGeNet	
NOS3	C0042384	Vasculitis	DisGeNet	
TNF	C0042384	Vasculitis	DisGeNet	
IFNG	C0030807	Pemphigus	DisGeNet	
IL2	C0030807	Pemphigus	DisGeNet	
LTA	C0030807	Pemphigus	DisGeNet	
TNF	C0030807	Pemphigus	DisGeNet	
IFNG	C0023283	Zoonotic form of cutaneous leishmaniasis	DisGeNet	
IL2	C0023283	Zoonotic form of cutaneous leishmaniasis	DisGeNet	
LTA	C0023283	Zoonotic form of cutaneous leishmaniasis	DisGeNet	
TNF	C0023283	Zoonotic form of cutaneous leishmaniasis	DisGeNet	
IFNG	C0014743	Erythema nodosum	DisGeNet	
LTA	C0014743	Erythema nodosum	DisGeNet	
NOS3	C0014743	Erythema nodosum	DisGeNet	
TNF	C0014743	Erythema nodosum	DisGeNet	
IFNG	C0036205	Sarcoidosis, Pulmonary	DisGeNet	
IL2	C0036205	Sarcoidosis, Pulmonary	DisGeNet	
LTA	C0036205	Sarcoidosis, Pulmonary	DisGeNet	
TNF	C0036205	Sarcoidosis, Pulmonary	DisGeNet	
IFNG	C0006272	Bronchiolitis Obliterans	DisGeNet	
IL2	C0006272	Bronchiolitis Obliterans	DisGeNet	
NOS3	C0006272	Bronchiolitis Obliterans	DisGeNet	
TNF	C0006272	Bronchiolitis Obliterans	DisGeNet	
IFNG	C0040592	Trachoma	DisGeNet	
LTA	C0040592	Trachoma	DisGeNet	
NOS3	C0040592	Trachoma	DisGeNet	
TNF	C0040592	Trachoma	DisGeNet	
CYP3A4	C0686347	Tardive Dyskinesia	DisGeNet	
NOS3	C0686347	Tardive Dyskinesia	DisGeNet	
PDE4B	C0686347	Tardive Dyskinesia	DisGeNet	
TNF	C0686347	Tardive Dyskinesia	DisGeNet	
IFNG	C0026857	Musculoskeletal Diseases	DisGeNet	
