node1	node2	edge_score	
DB01088	PDE4C	1.0	
DB01088	PTGER1	1.0	
DB01088	PLAT	1.0	
DB01088	SLCO2B1	1.0	
DB01088	PDE4A	1.0	
DB01088	PDE4B	1.0	
DB01088	PTGIR	1.0	
DB01088	PDE4D	1.0	
SLCO2B1		1.0
PTGIR		1.0
PDE4D		1.0
Breast-ovarian cancer, familial 1	PDE4D	1.0	
Breast-ovarian cancer, familial 1	PTGIR	1.0	
Breast-ovarian cancer, familial 1	SLCO2B1	1.0	
Venous thrombosis	PDE4D	1.0	
Venous thrombosis	PTGIR	1.0	
Hyperphosphatemia	PDE4D	1.0	
 Acrodysostosis 1, with or without hormone resistance, 101800 (3)	PDE4D	1.0	
Blue irides	PDE4D	1.0	
Pseudohypoparathyroidism, Type Ia	PDE4D	1.0	
Pseudohypoparathyroidism type 1A	PDE4D	1.0	
Epiphyseal stippling	PDE4D	1.0	
Vascular Diseases	PDE4D	1.0	
Vascular Diseases	PTGIR	1.0	
Hypoplasia of the radius	PDE4D	1.0	
Generalized hypopigmentation of hair	PDE4D	1.0	
Open bite	PDE4D	1.0	
Short metatarsal	PDE4D	1.0	
Aplasia/Hypoplasia of metatarsal bones	PDE4D	1.0	
Deep vein thrombosis of lower limb	PTGIR	1.0	
Deep thrombophlebitis	PTGIR	1.0	
Abnormal morphology of the radius	PDE4D	1.0	
Abnormal epiphyseal ossification	PDE4D	1.0	
Hypoplasia of the ulna	PDE4D	1.0	
Abnormal morphology of ulna	PDE4D	1.0	
Hypocalcemia	PDE4D	1.0	
Accelerated skeletal maturation	PDE4D	1.0	
Abnormality of phosphate homeostasis	PDE4D	1.0	
Cone-shaped epiphyses fused within their metaphyses	PDE4D	1.0	
Aplasia/Hypoplasia of the ulna	PDE4D	1.0	
Abnormality of intracranial pressure	PDE4D	1.0	
Abnormality of the parathyroid physiology	PDE4D	1.0	
Inflammatory pain	PDE4D	1.0	
Increased intracranial pressure	PDE4D	1.0	
Round face	PDE4D	1.0	
Congenital hypothyroidism	PDE4D	1.0	
Open mouth	PDE4D	1.0	
Abnormality of the parathyroid gland	PDE4D	1.0	
Proportionate short stature	PDE4D	1.0	
Forearm undergrowth	PDE4D	1.0	
NEUROTICISM	PDE4D	1.0	
Narrow femoral neck	PDE4D	1.0	
Upper limb undergrowth	PDE4D	1.0	
Aplasia/Hypoplasia of the radius	PDE4D	1.0	
 Cerebrovascular disease, occlusive (3)	PDE4D	1.0	
Brain Infarction	PDE4D	1.0	
Short toe	PDE4D	1.0	
Abnormal morphology of forearm bone	PDE4D	1.0	
Abnormal concentration of calcium in blood	PDE4D	1.0	
Micromelia	PDE4D	1.0	
Abnormal thrombosis	PDE4D	1.0	
Coronary artery stenosis	PDE4D	1.0	
Amphetamine-Related Disorders	PDE4D	1.0	
Hypopigmentation of hair	PDE4D	1.0	
Congenital heart disease	PTGIR	1.0	
Abnormality of the metatarsal bones	PDE4D	1.0	
Specific learning disability	PDE4D	1.0	
Abnormality of the paranasal sinuses	PDE4D	1.0	
Cough	PTGIR	1.0	
Short metacarpal	PDE4D	1.0	
Hypoplasia of the maxilla	PDE4D	1.0	
Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia	PDE4D	1.0	
Angina, Unstable	PDE4D	1.0	
Depressed nasal ridge	PDE4D	1.0	
Abnormality of hair pigmentation	PDE4D	1.0	
Abnormal enchondral ossification	PDE4D	1.0	
Cerebral palsy, spastic quadriplegic, 3	PDE4D	1.0	
Aplasia/Hypoplasia of toe	PDE4D	1.0	
Hyperbilirubinemia	SLCO2B1	1.0	
Delayed eruption of teeth	PDE4D	1.0	
