Gene	CUI	Source Databases	
PDE4D	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
PTGIR	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
SLCO2B1	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
PDE4D	C0042487	Venous thrombosis	HumPhenOnt	
PTGIR	C0042487	Venous thrombosis	DisGeNet	
PDE4D	C0085681	Hyperphosphatemia	HumPhenOnt	
PDE4D	C0220659	 Acrodysostosis 1, with or without hormone resistance, 101800 (3)	DisGeNet	
PDE4D	C0578626	Blue irides	HumPhenOnt	
PDE4D	C3494506	Pseudohypoparathyroidism, Type Ia	DisGeNet	
PDE4D	C0033806	Pseudohypoparathyroidism type 1A	DisGeNet,HumPhenOnt	
PDE4D	C1859126	Epiphyseal stippling	HumPhenOnt	
PDE4D	C0042373	Vascular Diseases	DisGeNet	
PTGIR	C0042373	Vascular Diseases	DisGeNet	
PDE4D	C0685381	Hypoplasia of the radius	HumPhenOnt	
PDE4D	C4023400	Generalized hypopigmentation of hair	HumPhenOnt	
PDE4D	C0266061	Open bite	HumPhenOnt	
PDE4D	C1849020	Short metatarsal	HumPhenOnt	
PDE4D	C1860182	Aplasia/Hypoplasia of metatarsal bones	HumPhenOnt	
PTGIR	C0340708	Deep vein thrombosis of lower limb	DisGeNet	
PTGIR	C0151950	Deep thrombophlebitis	DisGeNet	
PDE4D	C4022401	Abnormal morphology of the radius	HumPhenOnt	
PDE4D	C4021246	Abnormal epiphyseal ossification	HumPhenOnt	
PDE4D	C1860614	Hypoplasia of the ulna	HumPhenOnt	
PDE4D	C4022453	Abnormal morphology of ulna	HumPhenOnt	
PDE4D	C0020598	Hypocalcemia	HumPhenOnt	
PDE4D	C0545053	Accelerated skeletal maturation	HumPhenOnt	
PDE4D	C4022032	Abnormality of phosphate homeostasis	HumPhenOnt	
PDE4D	C1865037	Cone-shaped epiphyses fused within their metaphyses	HumPhenOnt	
PDE4D	C1865571	Aplasia/Hypoplasia of the ulna	HumPhenOnt	
PDE4D	C4022809	Abnormality of intracranial pressure	HumPhenOnt	
PDE4D	C4023198	Abnormality of the parathyroid physiology	HumPhenOnt	
PDE4D	C0234251	Inflammatory pain	DisGeNet	
PDE4D	C0151740	Increased intracranial pressure	HumPhenOnt	
PDE4D	C0239479	Round face	HumPhenOnt	
PDE4D	C0010308	Congenital hypothyroidism	HumPhenOnt	
PDE4D	C0240379	Open mouth	HumPhenOnt	
PDE4D	C4025822	Abnormality of the parathyroid gland	HumPhenOnt	
PDE4D	C0205351	Proportionate short stature	HumPhenOnt	
PDE4D	C1855299	Forearm undergrowth	HumPhenOnt	
PDE4D	C1842981	NEUROTICISM	DisGeNet	
PDE4D	C0332463	Narrow femoral neck	HumPhenOnt	
PDE4D	C1837406	Upper limb undergrowth	HumPhenOnt	
PDE4D	C2749463	Aplasia/Hypoplasia of the radius	HumPhenOnt	
PDE4D	C0007820	 Cerebrovascular disease, occlusive (3)	DisGeNet	
PDE4D	C0751955	Brain Infarction	DisGeNet	
PDE4D	C1836195	Short toe	HumPhenOnt	
PDE4D	C4022451	Abnormal morphology of forearm bone	HumPhenOnt	
PDE4D	C0004268	Abnormal concentration of calcium in blood	HumPhenOnt	
PDE4D	C0025995	Micromelia	HumPhenOnt	
PDE4D	C4025731	Abnormal thrombosis	HumPhenOnt	
PDE4D	C0242231	Coronary artery stenosis	DisGeNet	
PDE4D	C0236733	Amphetamine-Related Disorders	DisGeNet	
PDE4D	C3278401	Hypopigmentation of hair	HumPhenOnt	
PTGIR	C0152021	Congenital heart disease	DisGeNet	
PDE4D	C4025745	Abnormality of the metatarsal bones	HumPhenOnt	
PDE4D	C4025790	Specific learning disability	HumPhenOnt	
PDE4D	C4025873	Abnormality of the paranasal sinuses	HumPhenOnt	
PTGIR	C0010200	Cough	DisGeNet	
PDE4D	C1837084	Short metacarpal	HumPhenOnt	
PDE4D	C0240310	Hypoplasia of the maxilla	HumPhenOnt	
PDE4D	C0271561	Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia	HumPhenOnt	
PDE4D	C0002965	Angina, Unstable	DisGeNet	
PDE4D	C1842876	Depressed nasal ridge	HumPhenOnt	
PDE4D	C4024172	Abnormality of hair pigmentation	HumPhenOnt	
PDE4D	C4025628	Abnormal enchondral ossification	HumPhenOnt	
PDE4D	C0007789	Cerebral palsy, spastic quadriplegic, 3	DisGeNet	
PDE4D	C3551148	Aplasia/Hypoplasia of toe	HumPhenOnt	
SLCO2B1	C0020433	Hyperbilirubinemia	DisGeNet	
PDE4D	C0239174	Delayed eruption of teeth	HumPhenOnt	
PDE4D	C4025862	Abnormality of the maxilla	HumPhenOnt	
PDE4D	C0302476	Anterior hypopituitarism	HumPhenOnt	
PDE4D	C4025337	Abnormality of calcium homeostasis	HumPhenOnt	
PDE4D	C0399526	Mandibular prognathia	HumPhenOnt	
PDE4D	C0577631	Carotid Atherosclerosis	DisGeNet	
PDE4D	C1834387	Abnormal iris pigmentation	HumPhenOnt	
PDE4D	C4021822	Abnormality of female external genitalia	HumPhenOnt	
PTGIR	C0149871	Deep venous thrombosis	DisGeNet	
PDE4D	C4023648	Abnormality of divalent inorganic cation homeostasis	HumPhenOnt	
PDE4D	C4021615	Abnormal metacarpal morphology	HumPhenOnt	
PDE4D	C4025662	Abnormality of the ulna	HumPhenOnt	
PDE4D	C1859363	Abnormality of dental eruption	HumPhenOnt	
PDE4D	C0003850	Arteriosclerosis	DisGeNet	
PTGIR	C0003850	Arteriosclerosis	DisGeNet	
PDE4D	C0020635	Hypopituitarism	HumPhenOnt	
PDE4D	C0205250	Elevated 7-dehydrocholesterol	HumPhenOnt	
PDE4D	C0877165	Short phalanx of finger	HumPhenOnt	
PDE4D	C1853242	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	HumPhenOnt	
PDE4D	C4023407	Abnormality of mouth shape	HumPhenOnt	
PDE4D	C0221356	Brachycephaly	HumPhenOnt	
PTGIR	C0020507	Hyperplasia	DisGeNet	
PDE4D	C1854912	Short long bone	HumPhenOnt	
PDE4D	C4021785	Abnormality of the metacarpal bones	HumPhenOnt	
PDE4D	C4025675	Abnormality of the radius	HumPhenOnt	
PDE4D	C1848670	Aplasia/Hypoplasia of the phalanges of the hand	HumPhenOnt	
PDE4D	C4021202	Abnormality of the nasal dorsum	HumPhenOnt	
PDE4D	C0008073	Growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy, 617093 (3)	DisGeNet	
PDE4D	C4022452	Abnormality of forearm bone	HumPhenOnt	
PDE4D	C0857576	Abnormality of thyroid physiology	HumPhenOnt	
PDE4D	C1858085	Malar flattening	HumPhenOnt	
PDE4D	C4025666	Abnormality of the forearm	HumPhenOnt	
PDE4D	C3806226	Ectopic calcification	HumPhenOnt	
PDE4D	C4025864	Abnormality of the chin	HumPhenOnt	
PDE4D	C0005940	Bone Diseases	DisGeNet	
PDE4D	C4022926	Abnormality of malar bones	HumPhenOnt	
PDE4D	C0004153	Atherosclerosis	DisGeNet	
PTGIR	C0004153	Atherosclerosis	DisGeNet	
PDE4D	C0497388	Nevus	HumPhenOnt	
PDE4D	C0156404	Menstrual irregularities	HumPhenOnt	
PDE4D	C1854114	Short nose	HumPhenOnt	
PDE4D	C4023206	Abnormality of the anterior pituitary	HumPhenOnt	
PDE4D	C4021611	Abnormality of epiphysis morphology	HumPhenOnt	
PDE4D	C0027962	Melanocytic nevus	HumPhenOnt	
PDE4D	C1836142	Congenital onset	HumPhenOnt	
PDE4D	C4023749	Abnormality of the zygomatic bone	HumPhenOnt	
PDE4D	C1852504	Misalignment of teeth	HumPhenOnt	
PDE4D	C4023646	Abnormality of cation homeostasis	HumPhenOnt	
PDE4D	C0042963	Vomiting	DisGeNet	
PTGIR	C0013274	Patent ductus arteriosus	DisGeNet	
PDE4D	C0856975	Autistic behavior	HumPhenOnt	
PDE4D	C0007787	Transient ischemic attack	DisGeNet	
PDE4D	C0029422	Skeletal dysplasia	DisGeNet	
PDE4D	C4022458	Abnormal morphology of bones of the upper limbs	HumPhenOnt	
PDE4D	C0004096	Asthma	DisGeNet	
PTGIR	C0004096	Asthma	DisGeNet	
PDE4D	C4022457	Abnormal morphology of bones of the lower limbs	HumPhenOnt	
PDE4D	C4025654	Abnormality of ion homeostasis	HumPhenOnt	
PDE4D	C0424295	Hyperactivity	HumPhenOnt	
PDE4D	C1839326	Abnormal form of the vertebral bodies	HumPhenOnt	
PDE4D	C4020961	Displacement of the external urethral meatus	HumPhenOnt	
PDE4D	C0151699	Intracranial hemorrhage	DisGeNet	
PDE4D	C1458155	Breast Neoplasms	PheGenI	
PDE4D	C0241210	Delayed speech and language development	HumPhenOnt	
PDE4D	C0221357	Brachydactyly, type a1, d	HumPhenOnt	
PDE4D	C4025819	Abnormality of the hypothalamus-pituitary axis	HumPhenOnt	
PDE4D	C4025652	Abnormality of circulating hormone level	HumPhenOnt	
PDE4D	C4025826	Abnormality of the urethra	HumPhenOnt	
PDE4D	C4025818	Abnormality of skeletal maturation	HumPhenOnt	
PDE4D	C1836542	Depressed nasal bridge	HumPhenOnt	
PDE4D	C0848558	Hypospadias	HumPhenOnt	
PDE4D	C0229249	Epicanthus	HumPhenOnt	
PDE4D	C0007785	Ischaemic cerebral infarction	DisGeNet	
PDE4D	C0853087	Abnormality of the nail	HumPhenOnt	
PDE4D	C0158775	Abnormality of the vertebrae	HumPhenOnt	
PDE4D	C4025845	Abnormality of the iris	HumPhenOnt	
PDE4D	C4022454	Abnormality of upper limb bone	HumPhenOnt	
PDE4D	C4021811	Abnormality of the midface	HumPhenOnt	
