Gene	CUI	Source Databases	
ADRB1	C0017612	Glaucoma, Open-Angle	DisGeNet	
ADRB2	C0017612	Glaucoma, Open-Angle	DisGeNet	
ESR1	C0017612	Glaucoma, Open-Angle	DisGeNet	
TXNRD2	C0017612	Glaucoma, Open-Angle	PheGenI	
ADRB2	C0086132	Depressive Symptoms	DisGeNet	
COMT	C0086132	Depressive Symptoms	DisGeNet	
ESR1	C0086132	Depressive Symptoms	DisGeNet	
TXNRD2	C0086132	Depressive Symptoms	DisGeNet	
ADRB1	C0038443	Stress, Psychological	DisGeNet	
ADRB2	C0038443	Stress, Psychological	DisGeNet	
COMT	C0038443	Stress, Psychological	DisGeNet	
ADRB1	C0028797	Occupational Diseases	DisGeNet	
ADRB2	C0028797	Occupational Diseases	DisGeNet	
COMT	C0028797	Occupational Diseases	DisGeNet	
COMT	C1268717	Mammographic breast density	DisGeNet	
ESR1	C1268717	Mammographic breast density	DisGeNet	
TXNRD2	C1268717	Mammographic breast density	DisGeNet	
ADRB1	C0518010	body mass	DisGeNet	
ADRB2	C0518010	body mass	DisGeNet	
ESR1	C0518010	body mass	DisGeNet	
ADRB2	C0851578	Sleep Wake Disorders	DisGeNet	
COMT	C0851578	Sleep Wake Disorders	DisGeNet	
ESR1	C0851578	Sleep Wake Disorders	DisGeNet	
COMT	C0007286	Carpal tunnel syndrome	DisGeNet	
ESR1	C0007286	Carpal tunnel syndrome	DisGeNet	
ADRB1	C0038525	Subarachnoid hemorrhage	DisGeNet	
ADRB2	C0038525	Subarachnoid hemorrhage	DisGeNet	
COMT	C0038525	Subarachnoid hemorrhage	DisGeNet	
ESR1	C0038525	Subarachnoid hemorrhage	DisGeNet	
ADRB2	C0030201	Acute postoperative pain	DisGeNet	
COMT	C0030201	Acute postoperative pain	DisGeNet	
ADRB1	C0027719	Nephrosclerosis	DisGeNet	
ADRB2	C0027719	Nephrosclerosis	DisGeNet	
ADRB1	C0031212	Personality disorder	DisGeNet	
COMT	C0031212	Personality disorder	DisGeNet	
ADRB2	C1802398	Chromosome 5, trisomy 5q	DisGeNet	
TXNRD2	C1802398	Chromosome 5, trisomy 5q	DisGeNet	
COMT	C2267227	Bulimia nervosa 1	DisGeNet	
ESR1	C2267227	Bulimia nervosa 1	DisGeNet	
ADRB1	C0028756	Obesity, severe, 601665 (3)	DisGeNet	
ADRB2	C0028756	Obesity, severe, 601665 (3)	DisGeNet	
ESR1	C0028756	Obesity, severe, 601665 (3)	DisGeNet	
ADRB2	C0000889	Acanthosis nigricans	DisGeNet	
ESR1	C0000889	Acanthosis nigricans	HumPhenOnt	
ADRB1	C0002792	Anaphylactic shock NOS	DisGeNet	
ESR1	C0002792	Anaphylactic shock NOS	DisGeNet	
ADRB2	C0020550	Hyperthyroidism	DisGeNet	
COMT	C0020550	Hyperthyroidism	HumPhenOnt	
TXNRD2	C0020550	Hyperthyroidism	DisGeNet	
ADRB2	C0150055	Chronic pain	DisGeNet	
COMT	C0150055	Chronic pain	DisGeNet	
COMT	C0740858	Substance abuse problem	DisGeNet	
ESR1	C0740858	Substance abuse problem	DisGeNet	
ADRB2	C0042487	Venous thrombosis	DisGeNet	
COMT	C0042487	Venous thrombosis	DisGeNet	
ESR1	C0042487	Venous thrombosis	DisGeNet	
ADRB1	C0206733	Capillary hemangiomas	DisGeNet	
ADRB2	C0206733	Capillary hemangiomas	DisGeNet	
ADRB1	C0042514	Ventricular tachycardia, catecholaminergic polymorphic, 2	DisGeNet	
ADRB2	C0042514	Ventricular tachycardia, catecholaminergic polymorphic, 2	DisGeNet	
ADRB2	C2911645	Weight Loss Adverse Event	DisGeNet	
COMT	C2911645	Weight Loss Adverse Event	DisGeNet	
ADRB1	C0948089	Acute Coronary Syndrome	DisGeNet	
ADRB2	C0948089	Acute Coronary Syndrome	DisGeNet	
COMT	C0948089	Acute Coronary Syndrome	DisGeNet	
ESR1	C0948089	Acute Coronary Syndrome	DisGeNet	
ADRB1	C0525045	Mood Disorders	DisGeNet	
ADRB2	C0525045	Mood Disorders	DisGeNet	
COMT	C0525045	Mood Disorders	DisGeNet	
ESR1	C0525045	Mood Disorders	DisGeNet	
ADRB2	C0016053	Fibromyalgia	DisGeNet	
COMT	C0016053	Fibromyalgia	DisGeNet	
ADRB1	C0085298	Sudden cardiac death	DisGeNet	
ADRB2	C0085298	Sudden cardiac death	DisGeNet	
ESR1	C0085298	Sudden cardiac death	DisGeNet	
ADRB1	C0042510	Ventricular fibrillation	DisGeNet	
ADRB2	C0042510	Ventricular fibrillation	DisGeNet	
COMT	C0235653	Malignant neoplasm of female breast	DisGeNet	
ESR1	C0235653	Malignant neoplasm of female breast	DisGeNet	
COMT	C1847835	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)	DisGeNet	
ESR1	C1847835	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)	DisGeNet	
TXNRD2	C1847835	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)	DisGeNet	
ADRB2	C0033054	Prenatal Exposure Delayed Effects	DisGeNet	
COMT	C0033054	Prenatal Exposure Delayed Effects	DisGeNet	
COMT	C0007104	Female Breast Carcinoma	DisGeNet	
ESR1	C0007104	Female Breast Carcinoma	DisGeNet	
COMT	C0014173	Endometrial Hyperplasia	DisGeNet	
ESR1	C0014173	Endometrial Hyperplasia	DisGeNet	
ADRB1	C0152136	Low Tension Glaucoma	DisGeNet	
ADRB2	C0152136	Low Tension Glaucoma	DisGeNet	
ADRB2	C0085129	Bronchial Hyperreactivity	DisGeNet	
COMT	C0085129	Bronchial Hyperreactivity	DisGeNet	
ESR1	C0085129	Bronchial Hyperreactivity	DisGeNet	
COMT	C0341858	Endometriosis of uterus	DisGeNet	
ESR1	C0341858	Endometriosis of uterus	DisGeNet	
