node1	node2	edge_score	
DB06372	IL1A	1.0	
DB06372	IL1B	1.0	
DB06372	IL1RN	1.0	
IL1B	rs4849127	0.99
IL1B	rs16944	0.99
IL1B		1.0
IL1B	rs1143623	0.99
IL1B	rs4848306	0.99
IL1A		1.0
IL1B	rs12621220	0.99
IL1RN		1.0
IL1B	rs1143627	0.99
IL1B	rs1143634	0.99
Rheumatoid Nodule	IL1A	1.0	
Rheumatoid Nodule	IL1B	1.0	
Rheumatoid Nodule	IL1RN	1.0	
Hemorrhagic Fever with Renal Syndrome	IL1A	1.0	
Hemorrhagic Fever with Renal Syndrome	IL1B	1.0	
Hemorrhagic Fever with Renal Syndrome	IL1RN	1.0	
Periodontal Attachment Loss	IL1A	1.0	
Periodontal Attachment Loss	IL1B	1.0	
Periodontal Attachment Loss	IL1RN	1.0	
Cryopyrin-Associated Periodic Syndromes	IL1A	1.0	
Cryopyrin-Associated Periodic Syndromes	IL1B	1.0	
Cryopyrin-Associated Periodic Syndromes	IL1RN	1.0	
Oral aphthae	IL1A	1.0	
Oral aphthae	IL1B	1.0	
Oral aphthae	IL1RN	1.0	
Lichen Sclerosus et Atrophicus	IL1A	1.0	
Lichen Sclerosus et Atrophicus	IL1B	1.0	
Lichen Sclerosus et Atrophicus	IL1RN	1.0	
Metabolic Bone Disorder	IL1A	1.0	
Metabolic Bone Disorder	IL1B	1.0	
Metabolic Bone Disorder	IL1RN	1.0	
Puerperal Disorders	IL1A	1.0	
Puerperal Disorders	IL1B	1.0	
Puerperal Disorders	IL1RN	1.0	
Respiratory Hypersensitivity	IL1A	1.0	
Respiratory Hypersensitivity	IL1B	1.0	
Respiratory Hypersensitivity	IL1RN	1.0	
{?Amyloidosis, secondary, susceptibility to} (1)	IL1A	1.0	
{?Amyloidosis, secondary, susceptibility to} (1)	IL1B	1.0	
{?Amyloidosis, secondary, susceptibility to} (1)	IL1RN	1.0	
Periodontal Pocket	IL1A	1.0	
Periodontal Pocket	IL1B	1.0	
Periodontal Pocket	IL1RN	1.0	
Systemic aspergillosis	IL1A	1.0	
Systemic aspergillosis	IL1B	1.0	
Systemic aspergillosis	IL1RN	1.0	
Equine Infectious Anemia	IL1A	1.0	
Equine Infectious Anemia	IL1B	1.0	
Equine Infectious Anemia	IL1RN	1.0	
Multiple Organ Failure	IL1A	1.0	
Multiple Organ Failure	IL1B	1.0	
Multiple Organ Failure	IL1RN	1.0	
Osteoarthritis of distal interphalangeal joint	IL1A	1.0	
Osteoarthritis of distal interphalangeal joint	IL1B	1.0	
Osteoarthritis of distal interphalangeal joint	IL1RN	1.0	
Polymyalgia Rheumatica	IL1A	1.0	
Polymyalgia Rheumatica	IL1B	1.0	
Polymyalgia Rheumatica	IL1RN	1.0	
Alveolar Bone Loss	IL1A	1.0	
Alveolar Bone Loss	IL1B	1.0	
Alveolar Bone Loss	IL1RN	1.0	
Acute postoperative pain	IL1A	1.0	
Acute postoperative pain	IL1B	1.0	
Acute postoperative pain	IL1RN	1.0	
Osteoarthritis of the hand	IL1A	1.0	
Osteoarthritis of the hand	IL1B	1.0	
Osteoarthritis of the hand	IL1RN	1.0	
Simple pneumoconiosis	IL1A	1.0	
Simple pneumoconiosis	IL1B	1.0	
Simple pneumoconiosis	IL1RN	1.0	
Aggressive periodontitis, generalized	IL1A	1.0	
Aggressive periodontitis, generalized	IL1B	1.0	
Aggressive periodontitis, generalized	IL1RN	1.0	
Acne Vulgaris	IL1A	1.0	
Acne Vulgaris	IL1B	1.0	
Acne Vulgaris	IL1RN	1.0	
Low back pain	IL1A	1.0	
Low back pain	IL1B	1.0	
Low back pain	IL1RN	1.0	
Displacement of intervertebral disc	IL1A	1.0	
Displacement of intervertebral disc	IL1B	1.0	
Displacement of intervertebral disc	IL1RN	1.0	
Ectopic Pregnancy	IL1A	1.0	
Ectopic Pregnancy	IL1B	1.0	
Ectopic Pregnancy	IL1RN	1.0	
AIDS Dementia Complex	IL1A	1.0	
AIDS Dementia Complex	IL1B	1.0	
AIDS Dementia Complex	IL1RN	1.0	
Stomach Diseases	IL1A	1.0	
Stomach Diseases	IL1B	1.0	
Stomach Diseases	IL1RN	1.0	
Thromboangiitis Obliterans	IL1A	1.0	
Thromboangiitis Obliterans	IL1B	1.0	
Thromboangiitis Obliterans	IL1RN	1.0	
Stomatitis	IL1A	1.0	
Stomatitis	IL1B	1.0	
Stomatitis	IL1RN	1.0	
Streptococcal Infections	IL1A	1.0	
Streptococcal Infections	IL1B	1.0	
Streptococcal Infections	IL1RN	1.0	
Bacterial Vaginosis	IL1A	1.0	
Bacterial Vaginosis	IL1B	1.0	
Bacterial Vaginosis	IL1RN	1.0	
Coronary Restenosis	IL1A	1.0	
Coronary Restenosis	IL1B	1.0	
Coronary Restenosis	IL1RN	1.0	
Pneumococcal Infections	IL1A	1.0	
Pneumococcal Infections	IL1B	1.0	
Pneumococcal Infections	IL1RN	1.0	
Leptospirosis	IL1A	1.0	
Leptospirosis	IL1B	1.0	
Leptospirosis	IL1RN	1.0	
Pemphigus	IL1A	1.0	
Pemphigus	IL1B	1.0	
Pemphigus	IL1RN	1.0	
Silicosis	IL1A	1.0	
Silicosis	IL1B	1.0	
Silicosis	IL1RN	1.0	
Chagas Cardiomyopathy	IL1A	1.0	
Chagas Cardiomyopathy	IL1B	1.0	
