Gene	CUI	Source Databases	
FCGR2A	C0003864	Arthritis, Rheumatoid	DisGeNet	
FCGR2B	C0003864	Arthritis, Rheumatoid	DisGeNet	
FCGR3A	C0003864	Arthritis, Rheumatoid	DisGeNet	
FCGR2A	C0003873	Rheumatoid arthritis	DisGeNet	
FCGR2B	C0003873	Rheumatoid arthritis	DisGeNet	
FCGR3A	C0003873	Rheumatoid arthritis	DisGeNet	
FCGR2A	C0004096	Asthma	DisGeNet	
FCGR2B	C0004096	Asthma	DisGeNet	
FCGR3A	C0004096	Asthma	DisGeNet	
FCGR2A	C0004364	Autoimmune disease 1	DisGeNet	
FCGR2B	C0004364	Autoimmune disease 1	DisGeNet	
FCGR3A	C0004364	Autoimmune disease 1	DisGeNet	
FCGR2A	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
FCGR2B	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
FCGR3A	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
FCGR2A	C0009447	Common variable immunodeficiency 2	DisGeNet	
FCGR2B	C0009447	Common variable immunodeficiency 2	DisGeNet	
FCGR3A	C0009447	Common variable immunodeficiency 2	DisGeNet	
FCGR2A	C0010054	Coronary heart disease 7	DisGeNet	
FCGR2B	C0010054	Coronary heart disease 7	DisGeNet	
FCGR3A	C0010054	Coronary heart disease 7	DisGeNet	
FCGR2A	C0017661	IgA nephropathy, susceptibility to, 3	DisGeNet	
FCGR2B	C0017661	IgA nephropathy, susceptibility to, 3	DisGeNet	
FCGR3A	C0017661	IgA nephropathy, susceptibility to, 3	DisGeNet	
FCGR2A	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
FCGR2B	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
FCGR3A	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
FCGR2A	C0022658	Kidney Diseases	DisGeNet	
FCGR2B	C0022658	Kidney Diseases	DisGeNet	
FCGR3A	C0022658	Kidney Diseases	DisGeNet	
FCGR2A	C0023434	Chronic Lymphocytic Leukemia	DisGeNet	
FCGR2B	C0023434	Chronic Lymphocytic Leukemia	DisGeNet	
FCGR3A	C0023434	Chronic Lymphocytic Leukemia	DisGeNet	
FCGR2A	C0023467	Acute myeloid leukemia	DisGeNet	
FCGR2B	C0023467	Acute myeloid leukemia	DisGeNet	
FCGR3A	C0023467	Acute myeloid leukemia	DisGeNet	
FCGR2A	C0024131	Lupus Vulgaris	DisGeNet	
FCGR2B	C0024131	Lupus Vulgaris	DisGeNet	
FCGR3A	C0024131	Lupus Vulgaris	DisGeNet	
FCGR2A	C0024138	Discoid lupus erythematosus	DisGeNet	
FCGR2B	C0024138	Discoid lupus erythematosus	DisGeNet	
FCGR3A	C0024138	Discoid lupus erythematosus	DisGeNet	
FCGR2A	C0024141	Lupus Erythematosus, Systemic	ClinVar,DisGeNet,PheGenI	
FCGR2B	C0024141	Lupus Erythematosus, Systemic	ClinVar,DisGeNet	
FCGR3A	C0024141	Lupus Erythematosus, Systemic	DisGeNet	
FCGR2A	C0024143	Lupus Nephritis	DisGeNet	
FCGR2B	C0024143	Lupus Nephritis	DisGeNet	
FCGR3A	C0024143	Lupus Nephritis	DisGeNet	
FCGR2A	C0024299	Lymphoma, Large B-Cell, Diffuse	DisGeNet	
FCGR2B	C0024299	Lymphoma, Large B-Cell, Diffuse	DisGeNet	
FCGR3A	C0024299	Lymphoma, Large B-Cell, Diffuse	DisGeNet	
FCGR2A	C0024301	Lymphoma, Follicular	DisGeNet	
FCGR2B	C0024301	Lymphoma, Follicular	DisGeNet	
FCGR3A	C0024301	Lymphoma, Follicular	DisGeNet	
FCGR2A	C0024530	Malaria	DisGeNet	
FCGR2B	C0024530	Malaria	DisGeNet	
FCGR3A	C0024530	Malaria	DisGeNet	
FCGR2A	C0025303	Meningococcal Infections	DisGeNet	
FCGR2B	C0025303	Meningococcal Infections	DisGeNet	
FCGR3A	C0025303	Meningococcal Infections	DisGeNet	
FCGR2A	C0026691	Mucocutaneous Lymph Node Syndrome	DisGeNet,PheGenI	
FCGR2B	C0026691	Mucocutaneous Lymph Node Syndrome	DisGeNet	
FCGR3A	C0026691	Mucocutaneous Lymph Node Syndrome	DisGeNet	
FCGR2A	C0026764	Multiple Myeloma	DisGeNet	
FCGR2B	C0026764	Multiple Myeloma	DisGeNet	
FCGR3A	C0026764	Multiple Myeloma	DisGeNet	
FCGR2A	C0027726	Nephrotic syndrome, type 5, with or without ocular abnormalities	DisGeNet	
FCGR2B	C0027726	Nephrotic syndrome, type 5, with or without ocular abnormalities	DisGeNet	
FCGR3A	C0027726	Nephrotic syndrome, type 5, with or without ocular abnormalities	DisGeNet	
FCGR2A	C0027947	Neutropenia	DisGeNet	
FCGR2B	C0027947	Neutropenia	DisGeNet	
FCGR3A	C0027947	Neutropenia	DisGeNet	
FCGR2A	C0030805	{Pemphigoid, susceptibility to} (2)	DisGeNet	
FCGR2B	C0030805	{Pemphigoid, susceptibility to} (2)	DisGeNet	
FCGR3A	C0030805	{Pemphigoid, susceptibility to} (2)	DisGeNet	
FCGR2A	C0031099	Periodontitis	DisGeNet	
FCGR2B	C0031099	Periodontitis	DisGeNet	
FCGR3A	C0031099	Periodontitis	DisGeNet	
FCGR2A	C0035243	Respiratory tract infection	DisGeNet	
FCGR2B	C0035243	Respiratory tract infection	DisGeNet	
FCGR3A	C0035243	Respiratory tract infection	DisGeNet,HumPhenOnt	
FCGR2A	C0039483	Giant cell arteritis	DisGeNet	
FCGR2B	C0039483	Giant cell arteritis	DisGeNet	
FCGR3A	C0039483	Giant cell arteritis	DisGeNet	
FCGR2A	C0079731	B-cell lymphoma	DisGeNet	
FCGR2B	C0079731	B-cell lymphoma	DisGeNet	
FCGR3A	C0079731	B-cell lymphoma	DisGeNet	
FCGR2A	C0266929	Chronic Periodontitis	DisGeNet	
FCGR2B	C0266929	Chronic Periodontitis	DisGeNet	
FCGR3A	C0266929	Chronic Periodontitis	DisGeNet	
FCGR2A	C0376358	Malignant tumor of prostate	DisGeNet	
FCGR2B	C0376358	Malignant tumor of prostate	DisGeNet	
FCGR3A	C0376358	Malignant tumor of prostate	DisGeNet	
FCGR2A	C0398650	Idiopathic thrombocytopenic purpura	DisGeNet	
FCGR2B	C0398650	Idiopathic thrombocytopenic purpura	DisGeNet	
FCGR3A	C0398650	Idiopathic thrombocytopenic purpura	DisGeNet	
FCGR2A	C0403529	Anti-Glomerular Basement Membrane Disease	DisGeNet	
FCGR2B	C0403529	Anti-Glomerular Basement Membrane Disease	DisGeNet	
FCGR3A	C0403529	Anti-Glomerular Basement Membrane Disease	DisGeNet	
FCGR2A	C0409974	{Systemic lupus erythematosus, susceptibility to, 8} (2)	DisGeNet	
FCGR2B	C0409974	{Systemic lupus erythematosus, susceptibility to, 8} (2)	DisGeNet	
FCGR3A	C0409974	{Systemic lupus erythematosus, susceptibility to, 8} (2)	DisGeNet	
FCGR2A	C0600139	Prostate carcinoma	DisGeNet	
FCGR2B	C0600139	Prostate carcinoma	DisGeNet	
FCGR3A	C0600139	Prostate carcinoma	DisGeNet	
FCGR2A	C1527249	Colorectal cancer	DisGeNet	
FCGR2B	C1527249	Colorectal cancer	DisGeNet	
FCGR3A	C1527249	Colorectal cancer	DisGeNet	
FCGR2A	C1956346	Coronary Artery Disease	DisGeNet	
FCGR2B	C1956346	Coronary Artery Disease	DisGeNet	
