Gene	CUI	Source Databases	
ESR1	C0346402	Malignant neoplasm of adrenal cortex	DisGeNet	
ESR1	C3809250	Estrogen resistance	ClinVar,DisGeNet	
ESR1	C0007868	Cervical dysplasia	DisGeNet	
ESR1	C0278493	Breast cancer recurrent	DisGeNet	
ESR1	C0005694	Bladder neck obstruction	DisGeNet	
ESR1	C0856727	Cholesterol gallstones	DisGeNet	
ESR1	C0019360	Herpes zoster disease	DisGeNet	
ESR1	C0005944	Metabolic Bone Disorder	DisGeNet	
ESR1	C0266399	Hypoplasia of the uterus	HumPhenOnt	
ESR1	C0007286	Carpal tunnel syndrome	DisGeNet	
ESR1	C0409952	Generalized osteoarthritis	DisGeNet	
ESR1	C0853662	Oestrogen deficiency	DisGeNet	
ESR1	C0007867	Cervix Diseases	DisGeNet	
ESR1	C0221228	Comedone	DisGeNet	
ESR1	C0333693	Triploidy syndrome	DisGeNet	
ESR1	C0156344	Endometriosis of ovary	DisGeNet	
ESR1	C0409957	Osteoarthritis of distal interphalangeal joint	DisGeNet	
ESR1	C0032533	Polymyalgia Rheumatica	DisGeNet	
ESR1	C0279565	Invasive Lobular Breast Carcinoma	DisGeNet	
ESR1	C0002382	Alveolar Bone Loss	DisGeNet	
ESR1	C0009663	Condylomata Acuminata	DisGeNet	
ESR1	C0011071	Sudden death	DisGeNet	
ESR1	C0263746	Osteoarthritis of the hand	DisGeNet	
ESR1	C3669246	Mammary adenocarcinoma	DisGeNet	
ESR1	C0852036	Pregnancy associated hypertension	DisGeNet	
ESR1	C0010072	Coronary Thrombosis	DisGeNet	
ESR1	C0266013	Breast hypoplasia	HumPhenOnt	
ESR1	C0268318	Cholestasis of pregnancy	DisGeNet	
ESR1	C0677659	Gastro-esophageal reflux disease with esophagitis	DisGeNet	
ESR1	C0917996	Cerebral aneurysm	DisGeNet	
ESR1	C2267227	Bulimia nervosa 1	DisGeNet	
ESR1	C0206630	Stromal sarcoma	DisGeNet	
ESR1	C4072886	Abnormal circulating gonadotropin level	HumPhenOnt	
ESR1	C0000889	Acanthosis nigricans	HumPhenOnt	
ESR1	C0206731	Angiofibromas	DisGeNet	
ESR1	C4021551	Absence of secondary sex characteristics	HumPhenOnt	
ESR1	C0002792	Anaphylactic shock NOS	DisGeNet	
ESR1	C0007642	Cellulitis	DisGeNet	
ESR1	C0242787	Malignant neoplasm of male breast	DisGeNet	
ESR1	C0016663	Pathologic fracture	DisGeNet	
ESR1	C0740858	Substance abuse problem	DisGeNet	
ESR1	C1298180	Single tumor	DisGeNet	
ESR1	C0014145	Yolk Sac Tumor	DisGeNet	
ESR1	C0029445	Bone necrosis	DisGeNet	
ESR1	C0042344	Varicose Ulcer	DisGeNet	
ESR1	C0410702	Adolescent idiopathic scoliosis	DisGeNet	
ESR1	C1257930	Mammary Carcinoma, Human	DisGeNet	
ESR1	C0013238	Dry Eye Syndromes	DisGeNet	
ESR1	C4021246	Abnormal epiphyseal ossification	HumPhenOnt	
ESR1	C0085390	Li-Fraumeni syndrome	DisGeNet	
ESR1	C0740277	Bile duct cancer resectable	DisGeNet	
ESR1	C4024640	Aplasia/hypoplasia of the uterus	HumPhenOnt	
ESR1	C0032231	Pleuritis	DisGeNet	
ESR1	C0948480	Coronary Restenosis	DisGeNet	
ESR1	C0950124	Papillomavirus Infections	DisGeNet	
ESR1	C1262091	Lymphocytic infiltration	DisGeNet	
ESR1	C0010701	Phyllodes tumor, benign	DisGeNet	
ESR1	C0235653	Malignant neoplasm of female breast	DisGeNet	
ESR1	C0014869	Peptic Esophagitis	DisGeNet	
ESR1	C1851710	Lehman syndrome	DisGeNet	
ESR1	C0151849	Elevated alkaline phosphatase	HumPhenOnt	
ESR1	C0221002	Primary hyperparathyroidism	DisGeNet	
