Gene	CUI	Source Databases	
FCGR2A	C0003864	Arthritis, Rheumatoid	DisGeNet	
FCGR3A	C0003864	Arthritis, Rheumatoid	DisGeNet	
ITGB3	C0003864	Arthritis, Rheumatoid	DisGeNet	
FCGR2A	C0003873	Rheumatoid arthritis	DisGeNet	
FCGR3A	C0003873	Rheumatoid arthritis	DisGeNet	
ITGB3	C0003873	Rheumatoid arthritis	DisGeNet	
FCGR2A	C0004096	Asthma	DisGeNet	
FCGR3A	C0004096	Asthma	DisGeNet	
ITGB3	C0004096	Asthma	DisGeNet	
FCGR2A	C0004153	Atherosclerosis	DisGeNet	
FCGR3A	C0004153	Atherosclerosis	DisGeNet	
ITGB3	C0004153	Atherosclerosis	DisGeNet	
FCGR2A	C0004943	Behcet Syndrome	DisGeNet	
FCGR3A	C0004943	Behcet Syndrome	DisGeNet	
ITGB3	C0004943	Behcet Syndrome	DisGeNet	
FCGR2A	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
FCGR3A	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
ITGB3	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
FCGR2A	C0007222	Cardiovascular Diseases	DisGeNet	
FCGR3A	C0007222	Cardiovascular Diseases	DisGeNet	
ITGB3	C0007222	Cardiovascular Diseases	DisGeNet	
FCGR2A	C0009402	Colorectal cancer 1	DisGeNet	
FCGR3A	C0009402	Colorectal cancer 1	DisGeNet	
ITGB3	C0009402	Colorectal cancer 1	DisGeNet	
FCGR2A	C0009404	Colorectal Neoplasms	DisGeNet	
FCGR3A	C0009404	Colorectal Neoplasms	DisGeNet	
ITGB3	C0009404	Colorectal Neoplasms	DisGeNet	
FCGR2A	C0009450	Verotoxigenic Escherichia coli gastrointestinal tract infection	DisGeNet	
FCGR3A	C0009450	Verotoxigenic Escherichia coli gastrointestinal tract infection	DisGeNet	
ITGB3	C0009450	Verotoxigenic Escherichia coli gastrointestinal tract infection	DisGeNet	
FCGR2A	C0010054	Coronary heart disease 7	DisGeNet	
FCGR3A	C0010054	Coronary heart disease 7	DisGeNet	
ITGB3	C0010054	Coronary heart disease 7	DisGeNet	
FCGR2A	C0010346	Crohn Disease	DisGeNet,PheGenI	
FCGR3A	C0010346	Crohn Disease	DisGeNet	
ITGB3	C0010346	Crohn Disease	DisGeNet	
FCGR2A	C0011854	Diabetes mellitus type 1	DisGeNet	
FCGR3A	C0011854	Diabetes mellitus type 1	DisGeNet	
ITGB3	C0011854	Diabetes mellitus type 1	DisGeNet	
FCGR2A	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
FCGR3A	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
ITGB3	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
FCGR2A	C0021368	Inflammation	DisGeNet	
FCGR3A	C0021368	Inflammation	DisGeNet	
ITGB3	C0021368	Inflammation	DisGeNet	
FCGR2A	C0021390	Inflammatory Bowel Diseases	DisGeNet,PheGenI	
FCGR3A	C0021390	Inflammatory Bowel Diseases	DisGeNet	
ITGB3	C0021390	Inflammatory Bowel Diseases	DisGeNet	
FCGR2A	C0022658	Kidney Diseases	DisGeNet	
FCGR3A	C0022658	Kidney Diseases	DisGeNet	
ITGB3	C0022658	Kidney Diseases	DisGeNet	
FCGR2A	C0024141	Lupus Erythematosus, Systemic	ClinVar,DisGeNet,PheGenI	
FCGR3A	C0024141	Lupus Erythematosus, Systemic	DisGeNet	
ITGB3	C0024141	Lupus Erythematosus, Systemic	DisGeNet	
FCGR2A	C0024305	Non-Hodgkin lymphoma	DisGeNet	
FCGR3A	C0024305	Non-Hodgkin lymphoma	DisGeNet	
