Gene	CUI	Source Databases	
IGFBP3	C0001206	Acromegaly	DisGeNet	
INSR	C0001206	Acromegaly	DisGeNet	
IGFBP3	C0518010	body mass	DisGeNet	
INSR	C0518010	body mass	DisGeNet	
IGFBP3	C0235833	Congenital diaphragmatic hernia	DisGeNet	
INSR	C0235833	Congenital diaphragmatic hernia	DisGeNet	
IGFBP3	C0497406	Overweight	DisGeNet	
INSR	C0497406	Overweight	DisGeNet	
IGFBP3	C0206624	Hepatoblastoma	DisGeNet	
INSR	C0206624	Hepatoblastoma	DisGeNet	
IGFBP3	C0020615	Hypoglycemia, neonatal, simulating foetopathia diabetica	DisGeNet	
INSR	C0020615	Hypoglycemia, neonatal, simulating foetopathia diabetica	DisGeNet,HumPhenOnt	
IGFBP3	C0011884	Diabetic Retinopathy	DisGeNet	
INSR	C0011884	Diabetic Retinopathy	PheGenI	
IGFBP3	C0001122	Acidosis	DisGeNet	
INSR	C0001122	Acidosis	HumPhenOnt	
IGFBP3	C0271650	Glucose intolerance	DisGeNet	
INSR	C0271650	Glucose intolerance	DisGeNet	
INSR	C0011880	Diabetic ketoacidosis	HumPhenOnt	
INSR	C0221032	Berardinelli-Seip congenital lipodystrophy	DisGeNet	
IGFBP3	C0020459	Hyperinsulinemia	DisGeNet	
INSR	C0020459	Hyperinsulinemia	DisGeNet,HumPhenOnt	
IGFBP3	C0015672	Fatigue	DisGeNet	
INSR	C0015672	Fatigue	HumPhenOnt	
INSR	C0543442	Decreased adipose tissue	HumPhenOnt	
INSR	C4023047	Abnormality of endocrine pancreas physiology	HumPhenOnt	
IGFBP3	C0040128	Thyroid Diseases	DisGeNet	
INSR	C0040128	Thyroid Diseases	HumPhenOnt	
IGFBP3	C0015934	Intrauterine growth retardation	DisGeNet	
INSR	C0015934	Intrauterine growth retardation	HumPhenOnt	
IGFBP3	C0015814	Femur Head Necrosis	DisGeNet	
IGFBP3	C3714796	Isolated somatotropin deficiency	DisGeNet	
IGFBP3	C0259779	Fibrous Dysplasia	DisGeNet	
IGFBP3	C0271801	Central hypothyroidism	DisGeNet	
IGFBP3	C0013338	Isolated growth hormone deficiency type 1B	DisGeNet	
INSR	C0854110	Insulin-resistant diabetes mellitus AND acanthosis nigricans	ClinVar,DisGeNet,HumPhenOnt	
IGFBP3	C0079474	Recessive dystrophic epidermolysis bullosa	DisGeNet	
INSR	C4024878	Generalized hyperpigmentation	HumPhenOnt	
