Gene	CUI	Source Databases	
AR	C0021361	Female infertility	DisGeNet	
ESR1	C0021361	Female infertility	DisGeNet	
ESR2	C0021361	Female infertility	DisGeNet	
NR1I2	C0021361	Female infertility	DisGeNet	
ESR1	C1519689	Tumor Promotion	DisGeNet	
ESR2	C1519689	Tumor Promotion	DisGeNet	
NR1I2	C1519689	Tumor Promotion	DisGeNet	
NR1I3	C1519689	Tumor Promotion	DisGeNet	
AR	C0029458	Postmenopausal osteoporosis	DisGeNet	
ESR1	C0029458	Postmenopausal osteoporosis	DisGeNet	
ESR2	C0029458	Postmenopausal osteoporosis	DisGeNet	
NR1I2	C0029458	Postmenopausal osteoporosis	DisGeNet	
AR	C0410702	Adolescent idiopathic scoliosis	DisGeNet	
ESR1	C0410702	Adolescent idiopathic scoliosis	DisGeNet	
ESR2	C0410702	Adolescent idiopathic scoliosis	DisGeNet	
ESR1	C0600452	Hepatopulmonary Syndrome	DisGeNet	
ESR2	C0600452	Hepatopulmonary Syndrome	DisGeNet	
NR1I2	C0600452	Hepatopulmonary Syndrome	DisGeNet	
PPARA	C0600452	Hepatopulmonary Syndrome	DisGeNet	
AR	C0014170	Endometrial Neoplasms	DisGeNet	
CYP3A4	C0014170	Endometrial Neoplasms	DisGeNet	
ESR1	C0014170	Endometrial Neoplasms	DisGeNet	
ESR2	C0014170	Endometrial Neoplasms	DisGeNet	
NR1I2	C0014170	Endometrial Neoplasms	DisGeNet	
SULT2B1	C0014170	Endometrial Neoplasms	DisGeNet	
AR	C0010701	Phyllodes tumor, benign	DisGeNet	
ESR1	C0010701	Phyllodes tumor, benign	DisGeNet	
ESR2	C0010701	Phyllodes tumor, benign	DisGeNet	
AR	C0235653	Malignant neoplasm of female breast	DisGeNet	
ESR1	C0235653	Malignant neoplasm of female breast	DisGeNet	
NR1I2	C0235653	Malignant neoplasm of female breast	DisGeNet	
AR	C0007104	Female Breast Carcinoma	DisGeNet	
ESR1	C0007104	Female Breast Carcinoma	DisGeNet	
NR1I2	C0007104	Female Breast Carcinoma	DisGeNet	
AR	C1691215	Penile hypospadias	DisGeNet	
ESR1	C1691215	Penile hypospadias	DisGeNet	
ESR2	C1691215	Penile hypospadias	DisGeNet	
AR	C0005426	Biliary tract neoplasm	DisGeNet	
ESR1	C0005426	Biliary tract neoplasm	DisGeNet	
ESR2	C0005426	Biliary tract neoplasm	DisGeNet	
ESR2	C0008372	Intrahepatic cholestasis	DisGeNet	
NR1I2	C0008372	Intrahepatic cholestasis	DisGeNet	
NR1I3	C0008372	Intrahepatic cholestasis	DisGeNet	
AR	C0796369	Microsatellite Instability	DisGeNet	
ESR1	C0796369	Microsatellite Instability	DisGeNet	
ESR2	C0796369	Microsatellite Instability	DisGeNet	
AR	C0016034	Breast Fibrocystic Disease	DisGeNet	
ESR1	C0016034	Breast Fibrocystic Disease	DisGeNet	
ESR2	C0016034	Breast Fibrocystic Disease	DisGeNet	
NR1I2	C0154251	Disorders of lipoid metabolism	DisGeNet	
NR1I3	C0154251	Disorders of lipoid metabolism	DisGeNet	
PPARA	C0154251	Disorders of lipoid metabolism	DisGeNet	
AR	C0178421	Fibroadenoma of the breast	DisGeNet	
ESR1	C0178421	Fibroadenoma of the breast	DisGeNet	
ESR2	C0178421	Fibroadenoma of the breast	DisGeNet	
AR	C0242339	Dyslipidemias	DisGeNet	
CYP3A4	C0242339	Dyslipidemias	DisGeNet	
ESR1	C0242339	Dyslipidemias	DisGeNet	
NR1I2	C0242339	Dyslipidemias	DisGeNet	
PPARA	C0242339	Dyslipidemias	DisGeNet	
AR	C0014130	Disorder of endocrine system	DisGeNet	
ESR1	C0014130	Disorder of endocrine system	DisGeNet	
ESR2	C0014130	Disorder of endocrine system	DisGeNet	
AR	C1268717	Mammographic breast density	DisGeNet	
ESR1	C1268717	Mammographic breast density	DisGeNet	
ESR2	C1268717	Mammographic breast density	DisGeNet	
AR	C0702166	Acne	DisGeNet	
ESR1	C0702166	Acne	HumPhenOnt	
NR1I2	C0702166	Acne	DisGeNet	
AR	C0000809	Recurrent abortion	DisGeNet	
ESR1	C0000809	Recurrent abortion	DisGeNet	
ESR2	C0000809	Recurrent abortion	DisGeNet	
AR	C1654637	androgen independent prostate cancer	DisGeNet	
ESR1	C1654637	androgen independent prostate cancer	DisGeNet	
ESR2	C1654637	androgen independent prostate cancer	DisGeNet	
NR1I2	C1654637	androgen independent prostate cancer	DisGeNet	
ESR1	C0242231	Coronary artery stenosis	DisGeNet	
ESR2	C0242231	Coronary artery stenosis	DisGeNet	
PPARA	C0242231	Coronary artery stenosis	DisGeNet	
AR	C0007112	Adenocarcinoma of prostate	DisGeNet	
ESR1	C0007112	Adenocarcinoma of prostate	DisGeNet	
ESR2	C0007112	Adenocarcinoma of prostate	DisGeNet	
PPARA	C0007112	Adenocarcinoma of prostate	DisGeNet	
NR1I2	C0860204	Cholestatic liver disease	DisGeNet	
NR1I3	C0860204	Cholestatic liver disease	DisGeNet	
CYP3A4	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
ESR1	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
ESR2	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
NR1I2	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
NR1I3	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
PPARA	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
AR	C0947622	Cholecystolithiasis	DisGeNet	
ESR1	C0947622	Cholecystolithiasis	DisGeNet	
ESR2	C0947622	Cholecystolithiasis	DisGeNet	
