Gene	CUI	Source Databases	
CYP2C8	C0270736	Essential tremor	DisGeNet	
GABRA1	C0270736	Essential tremor	DisGeNet	
GABRQ	C0270736	Essential tremor	DisGeNet	
CYP2C8	C0013182	Drug Allergy	DisGeNet	
CYP3A4	C0013182	Drug Allergy	DisGeNet	
CYP3A5	C0013182	Drug Allergy	DisGeNet	
CYP3A4	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A5	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A4	C0206720	Squamous Cell Neoplasms	DisGeNet	
CYP3A5	C0206720	Squamous Cell Neoplasms	DisGeNet	
CYP3A4	C0085762	Alcohol abuse	DisGeNet	
GABRA1	C0085762	Alcohol abuse	DisGeNet	
GABRA6	C0085762	Alcohol abuse	DisGeNet	
CYP3A4	C0011206	Cocaine delirium	DisGeNet	
CYP3A5	C0011206	Cocaine delirium	DisGeNet	
CYP2C8	C0029445	Bone necrosis	DisGeNet	
CYP3A4	C0029445	Bone necrosis	DisGeNet	
