Gene	CUI	Source Databases	
SLC12A3	C0000737	Abdominal pain	HumPhenOnt	
SLC12A3	C0000768	EMG: myopathic abnormalities	DisGeNet	
SLC12A3	C0001118	Abnormality of acid-base homeostasis	HumPhenOnt	
SLC12A3	C0002063	Alkalosis	HumPhenOnt	
SLC12A3	C0003850	Arteriosclerosis	DisGeNet	
SLC12A3	C0004153	Atherosclerosis	DisGeNet	
SLC12A3	C0006118	Brain neoplasm	DisGeNet	
SLC12A3	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
SLC12A3	C0007131	Non-small cell lung carcinoma	DisGeNet	
SLC12A3	C0007134	Renal cell carcinoma, nonpapillary	DisGeNet	
SLC12A3	C0007137	Squamous cell carcinoma	DisGeNet	
SLC12A3	C0008487	Chordoma	DisGeNet	
SLC12A3	C0009812	Constitutional symptom	HumPhenOnt	
SLC12A3	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
SLC12A3	C0011860	Diabetes mellitus type 2	DisGeNet	
SLC12A3	C0011881	Diabetic Nephropathies	DisGeNet	
SLC12A3	C0011884	Diabetic Retinopathy	DisGeNet	
SLC12A3	C0011991	Diarrhea 8, secretory sodium, congenital	DisGeNet	
SLC12A3	C0014544	Epilepsy	DisGeNet	
SLC12A3	C0014599	Epithelial hyperplasia of skin	DisGeNet	
SLC12A3	C0017636	Glioblastoma	DisGeNet	
SLC12A3	C0018552	Hamartoma	DisGeNet	
SLC12A3	C0019569	Hirschsprung Disease	DisGeNet	
SLC12A3	C0020438	Hypercalciuria	DisGeNet	
SLC12A3	C0020538	Hypertension	DisGeNet	
SLC12A3	C0020621	Hypokalemia	HumPhenOnt	
SLC12A3	C0022658	Kidney Diseases	DisGeNet	
SLC12A3	C0022661	Kidney Failure, Chronic	DisGeNet	
SLC12A3	C0023467	Acute myeloid leukemia	DisGeNet	
SLC12A3	C0023890	Liver Cirrhosis, Biliary	DisGeNet	
SLC12A3	C0025149	Medulloblastoma	DisGeNet	
SLC12A3	C0025202	Melanoma	DisGeNet	
SLC12A3	C0025517	Disorders of Intracellular Cobalamin Metabolism	DisGeNet	
SLC12A3	C0026821	Muscle cramps	HumPhenOnt	
SLC12A3	C0027707	Tubulointerstitial nephritis	DisGeNet	
SLC12A3	C0027709	Nephrocalcinosis	DisGeNet	
SLC12A3	C0029456	Osteoporosis	DisGeNet	
SLC12A3	C0030193	Pain	HumPhenOnt	
SLC12A3	C0030552	Muscle weakness	HumPhenOnt	
SLC12A3	C0030554	Paresthesia	HumPhenOnt	
SLC12A3	C0031117	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	HumPhenOnt	
SLC12A3	C0032617	Polyuria	HumPhenOnt	
SLC12A3	C0035078	Renal Insufficiency, Chronic	DisGeNet	
SLC12A3	C0036572	Seizures, Febrile	HumPhenOnt	
SLC12A3	C0040336	Tobacco Use Disorder	DisGeNet	
SLC12A3	C0041341	Tuberous sclerosis syndrome	DisGeNet	
SLC12A3	C0042063	Abnormality of the genitourinary system	HumPhenOnt	
SLC12A3	C0042373	Vascular Diseases	DisGeNet	
SLC12A3	C0042963	Vomiting	DisGeNet	
SLC12A3	C0085580	Essential hypertension	DisGeNet	
SLC12A3	C0085602	Polydipsia	HumPhenOnt	
SLC12A3	C0085669	Acute leukemia	DisGeNet	
SLC12A3	C0149630	Bicuspid aortic valve	DisGeNet	
SLC12A3	C0149925	Small cell lung cancer	DisGeNet	
SLC12A3	C0151313	Sensory neuropathy	HumPhenOnt	
SLC12A3	C0151746	Abnormal renal physiology	HumPhenOnt	
SLC12A3	C0151747	Renal tubular dysfunction	DisGeNet	
SLC12A3	C0152013	Adenocarcinoma of lung	DisGeNet	
