Gene	CUI	Source Databases	
ABCB1	C0152020	Gastroparesis	DisGeNet	
ADRA1A	C0152020	Gastroparesis	DisGeNet	
ADRA1B	C0152020	Gastroparesis	DisGeNet	
KCNH2	C0152020	Gastroparesis	DisGeNet	
ABCB1	C0235032	Neurotoxicity Syndromes	DisGeNet	
ABCG2	C0235032	Neurotoxicity Syndromes	DisGeNet	
ADRA1B	C0235032	Neurotoxicity Syndromes	DisGeNet	
ABCB1	C3839868	Cytogenetically normal acute myeloid leukemia	DisGeNet	
ABCG2	C3839868	Cytogenetically normal acute myeloid leukemia	DisGeNet	
KCNH2	C3839868	Cytogenetically normal acute myeloid leukemia	DisGeNet	
