Gene	CUI	Source Databases	
CHAT	C0028043	Nicotine Dependence	DisGeNet	
CHRNA3	C0028043	Nicotine Dependence	DisGeNet	
CHRNA4	C0028043	Nicotine Dependence	DisGeNet	
CHRNA5	C0028043	Nicotine Dependence	DisGeNet	
CHRNA7	C0028043	Nicotine Dependence	DisGeNet	
CHRNB2	C0028043	Nicotine Dependence	DisGeNet	
CHRNB4	C0028043	Nicotine Dependence	DisGeNet	
CYP2A6	C0028043	Nicotine Dependence	DisGeNet	
CYP2B6	C0028043	Nicotine Dependence	DisGeNet	
CYP2E1	C0028043	Nicotine Dependence	DisGeNet	
CYP1A1	C0032229	Pleural Neoplasms	DisGeNet	
CYP1A2	C0032229	Pleural Neoplasms	DisGeNet	
CYP2A6	C0032229	Pleural Neoplasms	DisGeNet	
CYP2C19	C0032229	Pleural Neoplasms	DisGeNet	
CYP2E1	C0032229	Pleural Neoplasms	DisGeNet	
CHAT	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CHRNA4	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CHRNA7	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CHRNB2	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CYP1A1	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CYP2B6	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CYP2C19	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CYP2C9	C0038644	SUDDEN INFANT DEATH SYNDROME	DisGeNet	
CYP1A1	C0023055	Neoplasm of the larynx	DisGeNet	
CYP1A2	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2A6	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2C8	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2C9	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2D6	C0023055	Neoplasm of the larynx	DisGeNet	
CYP2E1	C0023055	Neoplasm of the larynx	DisGeNet	
CYP3A4	C0023055	Neoplasm of the larynx	DisGeNet	
CYP1A1	C0919532	Genomic Instability	DisGeNet	
CYP1A2	C0919532	Genomic Instability	DisGeNet	
CYP2A6	C0919532	Genomic Instability	DisGeNet	
CYP2C19	C0919532	Genomic Instability	DisGeNet	
CYP2E1	C0919532	Genomic Instability	DisGeNet	
CYP1A1	C0031347	Pharyngeal Neoplasms	DisGeNet	
CYP1A2	C0031347	Pharyngeal Neoplasms	DisGeNet	
CYP2A6	C0031347	Pharyngeal Neoplasms	DisGeNet	
CYP2C8	C0031347	Pharyngeal Neoplasms	DisGeNet	
CYP2C9	C0031347	Pharyngeal Neoplasms	DisGeNet	
CYP3A4	C0031347	Pharyngeal Neoplasms	DisGeNet	
CHRNB2	C0027497	Nausea	DisGeNet	
CYP1A2	C0027497	Nausea	DisGeNet	
CYP2C19	C0027497	Nausea	DisGeNet	
CYP2C9	C0027497	Nausea	DisGeNet	
CYP2D6	C0027497	Nausea	DisGeNet	
CHRNA3	C0038587	Substance Withdrawal Syndrome	DisGeNet	
CHRNA5	C0038587	Substance Withdrawal Syndrome	DisGeNet	
CHRNA7	C0038587	Substance Withdrawal Syndrome	DisGeNet	
CHRNB2	C0038587	Substance Withdrawal Syndrome	DisGeNet	
CHRNB4	C0038587	Substance Withdrawal Syndrome	DisGeNet	
CYP2D6	C0038587	Substance Withdrawal Syndrome	DisGeNet	
