rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
30	Stomach Diseases	C0038354	4	44	3.6890258625632555e-09	1.72811059908e-05	CYP2C19,CYP2E1,IFNG,TNF
33	Latent Tuberculosis	C1609538	3	25	3.60738856564069e-08	1.90092165899e-05	CYP2E1,IFNG,TNF
49	End Stage Liver Disease	C0745744	3	38	2.0796531485789416e-07	2.82258064516e-05	CYP2C19,CYP2E1,TNF
53	Liver Cirrhosis, Alcoholic	C0023891	4	103	2.7886981912583764e-07	3.05299539171e-05	CYP2C19,CYP2E1,IFNG,TNF
66	Peptic ulcer	C0030920	4	123	6.752829251333026e-07	3.80184331797e-05	CYP2C19,CYP2E1,IFNG,TNF
73	Nausea	C0027497	3	54	8.7740405685377e-07	4.20506912442e-05	CYP2C19,IFNG,TNF
74	Necrosis	C0027540	3	56	1.0171328931329882e-06	4.26267281106e-05	CYP2E1,IFNG,TNF
75	Respiratory Tract Diseases	C0035242	3	56	1.0171328931329882e-06	4.3202764977e-05	CYP2E1,IFNG,TNF
84	Chronic liver disease	C0341439	4	144	1.4729483369668728e-06	4.83870967742e-05	CYP2C19,CYP2E1,IFNG,TNF
116	Neurodegeneration with brain iron accumulation 4	C4055506	3	66	1.976716991314298e-06	6.68202764977e-05	CYP2E1,IFNG,TNF
121	Retroviridae Infections	C0035369	3	71	2.652132549130215e-06	6.97004608295e-05	CYP2E1,IFNG,TNF
122	Complications of Diabetes Mellitus	C0342257	3	75	3.304827487782269e-06	7.02764976959e-05	CYP2C19,IFNG,TNF
125	Drug Allergy	C0013182	3	79	4.069649584437229e-06	7.20046082949e-05	CYP2C19,IFNG,TNF
128	Stable angina	C0340288	3	82	4.723838736397923e-06	7.3732718894e-05	CYP2C19,IFNG,TNF
129	Lichen Planus, Oral	C0206139	3	83	4.958227061369058e-06	7.43087557604e-05	CYP2C19,IFNG,TNF
130	Nasopharyngeal Neoplasms	C0027439	3	84	5.201154970047028e-06	7.48847926267e-05	CYP2E1,IFNG,TNF
131	Drug Eruptions	C0011609	2	25	5.269609572811085e-06	7.54608294931e-05	CYP2E1,IFNG
132	Rheumatoid Nodule	C0035450	2	25	5.269609572811085e-06	7.60368663594e-05	IFNG,TNF
133	Pleural Tuberculosis	C0041326	2	25	5.269609572811085e-06	7.66129032258e-05	IFNG,TNF
167	Pleural Neoplasms	C0032229	2	26	5.951367467282864e-06	9.6198156682e-05	CYP2C19,CYP2E1
168	Cryoglobulinemia	C0010403	2	27	6.689079386723584e-06	9.67741935484e-05	IFNG,TNF
169	Q Fever	C0034362	2	27	6.689079386723584e-06	9.73502304147e-05	IFNG,TNF
