Gene	CUI	Source Databases	
IFNG	C0006272	Bronchiolitis Obliterans	DisGeNet	
IL2	C0006272	Bronchiolitis Obliterans	DisGeNet	
NOS3	C0006272	Bronchiolitis Obliterans	DisGeNet	
TNF	C0006272	Bronchiolitis Obliterans	DisGeNet	
CYP3A4	C0686347	Tardive Dyskinesia	DisGeNet	
NOS3	C0686347	Tardive Dyskinesia	DisGeNet	
PDE4B	C0686347	Tardive Dyskinesia	DisGeNet	
TNF	C0686347	Tardive Dyskinesia	DisGeNet	
IFNG	C0035450	Rheumatoid Nodule	DisGeNet	
IL2	C0035450	Rheumatoid Nodule	DisGeNet	
TNF	C0035450	Rheumatoid Nodule	DisGeNet	
CYP3A4	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
IFNG	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
IL2	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
TNF	C0042749	 {HIV-1 viremia, susceptibility to}, 609423 (3)	DisGeNet	
CYP3A4	C0152115	Orofacial dyskinesia	DisGeNet	
NOS3	C0152115	Orofacial dyskinesia	DisGeNet	
PDE4B	C0152115	Orofacial dyskinesia	DisGeNet	
TNF	C0152115	Orofacial dyskinesia	DisGeNet	
IFNG	C0342257	Complications of Diabetes Mellitus	DisGeNet	
IL2	C0342257	Complications of Diabetes Mellitus	DisGeNet	
NOS3	C0342257	Complications of Diabetes Mellitus	DisGeNet	
TNF	C0342257	Complications of Diabetes Mellitus	DisGeNet	
IFNG	C0403396	Steroid-sensitive nephrotic syndrome	DisGeNet	
IL2	C0403396	Steroid-sensitive nephrotic syndrome	DisGeNet	
TNF	C0403396	Steroid-sensitive nephrotic syndrome	DisGeNet	
IFNG	C0002797	Bovine Anaplasmosis	DisGeNet	
IL2	C0002797	Bovine Anaplasmosis	DisGeNet	
TNF	C0002797	Bovine Anaplasmosis	DisGeNet	
IL2	C0375071	Malignant neoplasm of vulva	DisGeNet	
NOS3	C0375071	Malignant neoplasm of vulva	DisGeNet	
TNF	C0375071	Malignant neoplasm of vulva	DisGeNet	
IFNG	C0002171	Alopecia Areata	DisGeNet	
IL2	C0002171	Alopecia Areata	DisGeNet,PheGenI	
NOS3	C0002171	Alopecia Areata	DisGeNet	
TNF	C0002171	Alopecia Areata	DisGeNet	
CYP3A4	C0015814	Femur Head Necrosis	DisGeNet	
NOS3	C0015814	Femur Head Necrosis	DisGeNet	
TNF	C0015814	Femur Head Necrosis	DisGeNet	
IFNG	C0009443	Familial cold-induced inflammatory syndrome 1, 120100 (3)	DisGeNet	
IL2	C0009443	Familial cold-induced inflammatory syndrome 1, 120100 (3)	DisGeNet	
TNF	C0009443	Familial cold-induced inflammatory syndrome 1, 120100 (3)	DisGeNet	
IFNG	C0038363	Oral aphthae	DisGeNet	
IL2	C0038363	Oral aphthae	DisGeNet	
TNF	C0038363	Oral aphthae	DisGeNet	
IFNG	C0031094	Periodontal Pocket	DisGeNet	
IL2	C0031094	Periodontal Pocket	DisGeNet	
TNF	C0031094	Periodontal Pocket	DisGeNet	
IFNG	C0002965	Angina, Unstable	DisGeNet	
NOS3	C0002965	Angina, Unstable	DisGeNet	
PDE4D	C0002965	Angina, Unstable	DisGeNet	
TNF	C0002965	Angina, Unstable	DisGeNet	
IFNG	C0014661	Equine Infectious Anemia	DisGeNet	
IL2	C0014661	Equine Infectious Anemia	DisGeNet	
TNF	C0014661	Equine Infectious Anemia	DisGeNet	
IFNG	C0026766	Multiple Organ Failure	DisGeNet	
NOS3	C0026766	Multiple Organ Failure	DisGeNet	
TNF	C0026766	Multiple Organ Failure	DisGeNet	
IFNG	C0036349	Paranoid Schizophrenia	DisGeNet	
IL2	C0036349	Paranoid Schizophrenia	DisGeNet	
TNF	C0036349	Paranoid Schizophrenia	DisGeNet	
IFNG	C0032533	Polymyalgia Rheumatica	DisGeNet	
NOS3	C0032533	Polymyalgia Rheumatica	DisGeNet	
TNF	C0032533	Polymyalgia Rheumatica	DisGeNet	
IFNG	C0002382	Alveolar Bone Loss	DisGeNet	
IL2	C0002382	Alveolar Bone Loss	DisGeNet	
TNF	C0002382	Alveolar Bone Loss	DisGeNet	
IFNG	C0037928	Chronic myelopathy	DisGeNet	
IL2	C0037928	Chronic myelopathy	DisGeNet	
TNF	C0037928	Chronic myelopathy	DisGeNet	
IFNG	C0035435	Rheumatic disease of heart valve	DisGeNet	
IL2	C0035435	Rheumatic disease of heart valve	DisGeNet	
NOS3	C0035435	Rheumatic disease of heart valve	DisGeNet	
TNF	C0035435	Rheumatic disease of heart valve	DisGeNet	
IFNG	C0151332	Active tuberculosis	DisGeNet	
IL2	C0151332	Active tuberculosis	DisGeNet	
TNF	C0151332	Active tuberculosis	DisGeNet	
IFNG	C0747845	early pregnancy	DisGeNet	
IL2	C0747845	early pregnancy	DisGeNet	
NOS3	C0747845	early pregnancy	DisGeNet	
TNF	C0747845	early pregnancy	DisGeNet	
CYP3A4	C0024143	Lupus Nephritis	DisGeNet	
IFNG	C0024143	Lupus Nephritis	DisGeNet	
IL2	C0024143	Lupus Nephritis	DisGeNet	
NOS3	C0024143	Lupus Nephritis	DisGeNet	
TNF	C0024143	Lupus Nephritis	DisGeNet	
IFNG	C0005956	Myelopathy	DisGeNet	
IL2	C0005956	Myelopathy	DisGeNet	
TNF	C0005956	Myelopathy	DisGeNet	
IFNG	C0015674	Chronic Fatigue Syndrome	DisGeNet	
IL2	C0015674	Chronic Fatigue Syndrome	DisGeNet	
TNF	C0015674	Chronic Fatigue Syndrome	DisGeNet	
IL2	C0677055	CARCINOMA OF VULVA	DisGeNet	
NOS3	C0677055	CARCINOMA OF VULVA	DisGeNet	
TNF	C0677055	CARCINOMA OF VULVA	DisGeNet	
IFNG	C0006309	Brucellosis	DisGeNet	
IL2	C0006309	Brucellosis	DisGeNet	
TNF	C0006309	Brucellosis	DisGeNet	
CYP3A4	C0086132	Depressive Symptoms	DisGeNet	
IL2	C0086132	Depressive Symptoms	DisGeNet	
NOS3	C0086132	Depressive Symptoms	DisGeNet	
TNF	C0086132	Depressive Symptoms	DisGeNet	
CYP3A4	C0241910	Hepatitis, Autoimmune	DisGeNet	
IFNG	C0241910	Hepatitis, Autoimmune	DisGeNet	
IL2	C0241910	Hepatitis, Autoimmune	DisGeNet	
TNF	C0241910	Hepatitis, Autoimmune	DisGeNet	
IFNG	C0023364	Leptospirosis	DisGeNet	
IL2	C0023364	Leptospirosis	DisGeNet	
TNF	C0023364	Leptospirosis	DisGeNet	
IFNG	C0030807	Pemphigus	DisGeNet	
IL2	C0030807	Pemphigus	DisGeNet	
TNF	C0030807	Pemphigus	DisGeNet	
IFNG	C0039483	Giant cell arteritis	DisGeNet	
IL2	C0039483	Giant cell arteritis	DisGeNet	
NOS3	C0039483	Giant cell arteritis	DisGeNet	
TNF	C0039483	Giant cell arteritis	DisGeNet	
