Gene	CUI	Source Databases	
CYP1B1	C0004096	Asthma	DisGeNet	
XDH	C0004096	Asthma	DisGeNet	
CYP1B1	C0004352	Autism 15	DisGeNet	
XDH	C0004352	Autism 15	DisGeNet	
CYP1B1	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
XDH	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
CYP1B1	C0007137	Squamous cell carcinoma	DisGeNet	
XDH	C0007137	Squamous cell carcinoma	DisGeNet	
CYP1B1	C0007222	Cardiovascular Diseases	DisGeNet	
XDH	C0007222	Cardiovascular Diseases	DisGeNet	
CYP1B1	C0009402	Colorectal cancer 1	DisGeNet	
XDH	C0009402	Colorectal cancer 1	DisGeNet	
CYP1B1	C0011053	Deafness, autosomal recessive 44	DisGeNet	
XDH	C0011053	Deafness, autosomal recessive 44	DisGeNet	
CYP1B1	C0014859	Esophageal Neoplasms	DisGeNet	
XDH	C0014859	Esophageal Neoplasms	DisGeNet	
CYP1B1	C0018772	Hearing Loss, Partial	DisGeNet	
XDH	C0018772	Hearing Loss, Partial	DisGeNet	
CYP1B1	C0020538	Hypertension	DisGeNet	
XDH	C0020538	Hypertension	DisGeNet	
CYP1B1	C0024117	Chronic obstructive pulmonary disease	DisGeNet	
XDH	C0024117	Chronic obstructive pulmonary disease	DisGeNet	
CYP1B1	C0024623	{Gastric cancer risk after H. pylori infection}, 137215 (3)	DisGeNet	
XDH	C0024623	{Gastric cancer risk after H. pylori infection}, 137215 (3)	DisGeNet	
CYP1B1	C0024667	Animal Mammary Neoplasms	DisGeNet	
XDH	C0024667	Animal Mammary Neoplasms	DisGeNet	
CYP1B1	C0025286	Meningioma	DisGeNet	
XDH	C0025286	Meningioma	DisGeNet	
CYP1B1	C0027627	Secondary hypertriglyceridemia	DisGeNet	
XDH	C0027627	Secondary hypertriglyceridemia	DisGeNet	
CYP1B1	C0038356	Stomach Neoplasms	DisGeNet	
XDH	C0038356	Stomach Neoplasms	DisGeNet	
CYP1B1	C0152013	Adenocarcinoma of lung	DisGeNet	
XDH	C0152013	Adenocarcinoma of lung	DisGeNet	
CYP1B1	C0242379	Malignant neoplasm of lung	DisGeNet	
XDH	C0242379	Malignant neoplasm of lung	DisGeNet	
CYP1B1	C0441748	Autosomal recessive inheritance	HumPhenOnt	
XDH	C0441748	Autosomal recessive inheritance	HumPhenOnt	
CYP1B1	C0677886	Ovarian epithelial cancer	DisGeNet	
XDH	C0677886	Ovarian epithelial cancer	DisGeNet	
CYP1B1	C0678222	Breast carcinoma	DisGeNet	
XDH	C0678222	Breast carcinoma	DisGeNet	
CYP1B1	C0684249	Lung cancer	DisGeNet	
XDH	C0684249	Lung cancer	DisGeNet	
CYP1B1	C0699791	Stomach cancer	DisGeNet	
XDH	C0699791	Stomach cancer	DisGeNet	
CYP1B1	C1140680	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	DisGeNet	
XDH	C1140680	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	DisGeNet	
