Gene	CUI	Source Databases	
IL12B	C0000786	Spontaneous abortion	DisGeNet	
IL12B	C0001175	Acquired Immunodeficiency Syndrome	DisGeNet	
IL12B	C0001418	 Adenocarcinoma, ovarian, somatic, 167000 (3)	DisGeNet	
IL12B	C0001849	AIDS Dementia Complex	DisGeNet	
IL12B	C0001973	Alcohol dependence	DisGeNet	
IL12B	C0002871	Anemia	DisGeNet,HumPhenOnt	
IL12B	C0003123	Anorexia	HumPhenOnt	
IL12B	C0003850	Arteriosclerosis	HumPhenOnt	
IL12B	C0003862	Arthralgia	HumPhenOnt	
IL12B	C0003864	Arthritis, Rheumatoid	DisGeNet,HumPhenOnt	
IL12B	C0003872	Arthritis, Psoriatic	DisGeNet	
IL12B	C0003873	Rheumatoid arthritis	DisGeNet	
IL12B	C0004096	Asthma	DisGeNet	
IL12B	C0004153	Atherosclerosis	DisGeNet,HumPhenOnt	
IL12B	C0004364	Autoimmune disease 1	DisGeNet	
IL12B	C0004763	Barrett Esophagus	DisGeNet	
IL12B	C0004943	Behcet Syndrome	DisGeNet	
IL12B	C0005684	Malignant tumor of urinary bladder	DisGeNet	
IL12B	C0005826	Abnormal systemic blood pressure	HumPhenOnt	
IL12B	C0006118	Brain neoplasm	DisGeNet	
IL12B	C0006142	Breast-ovarian cancer, familial 1	DisGeNet	
IL12B	C0006274	Bronchiolitis, Viral	DisGeNet	
IL12B	C0007107	Malignant neoplasm of larynx	DisGeNet	
IL12B	C0007137	Squamous cell carcinoma	DisGeNet	
IL12B	C0007194	Hypertrophic cardiomyopathy	HumPhenOnt	
IL12B	C0007570	Celiac Disease	DisGeNet	
IL12B	C0007847	Malignant tumor of cervix	DisGeNet	
IL12B	C0007930	Chagas Cardiomyopathy	DisGeNet	
IL12B	C0008031	Chest pain	HumPhenOnt	
IL12B	C0008495	Chorioamnionitis	DisGeNet	
IL12B	C0009324	Ulcerative colitis	DisGeNet	
IL12B	C0009402	Colorectal cancer 1	DisGeNet	
IL12B	C0009450	Verotoxigenic Escherichia coli gastrointestinal tract infection	DisGeNet	
IL12B	C0009812	Constitutional symptom	HumPhenOnt	
IL12B	C0010346	Crohn Disease	DisGeNet	
IL12B	C0010823	Cytomegalovirus Infections	DisGeNet	
IL12B	C0011265	Dementia familial British	DisGeNet	
IL12B	C0011311	Dengue Fever	DisGeNet	
IL12B	C0011615	Dermatitis, Atopic	DisGeNet	
IL12B	C0011854	Diabetes mellitus type 1	DisGeNet	
IL12B	C0011860	Diabetes mellitus type 2	DisGeNet	
IL12B	C0012359	Dilatation	HumPhenOnt	
IL12B	C0013595	Eczema	DisGeNet	
IL12B	C0014072	Experimental Autoimmune Encephalomyelitis	DisGeNet	
IL12B	C0014661	Equine Infectious Anemia	DisGeNet	
IL12B	C0014859	Esophageal Neoplasms	DisGeNet	
IL12B	C0014869	Peptic Esophagitis	DisGeNet	
IL12B	C0015393	Abnormality of the eye	HumPhenOnt	
IL12B	C0015672	Fatigue	HumPhenOnt	
IL12B	C0015943	Fetal Membranes, Premature Rupture	DisGeNet	
IL12B	C0015967	Malignant hyperthermia susceptibility type 5	HumPhenOnt	
IL12B	C0017086	Gangrene	HumPhenOnt	
IL12B	C0017638	Glioma	DisGeNet	
IL12B	C0018213	Graves Disease	DisGeNet	
IL12B	C0018378	Guillain-Barre syndrome, familial	DisGeNet	
IL12B	C0018681	Headache	HumPhenOnt	
IL12B	C0018798	Heart Defects, Congenital	HumPhenOnt	
IL12B	C0019079	Hemoptysis	HumPhenOnt	
IL12B	C0019100	Severe Dengue	DisGeNet	
IL12B	C0019159	Hepatitis	DisGeNet	
IL12B	C0019163	Acute type B viral hepatitis	DisGeNet	
IL12B	C0019196	Hepatitis C	DisGeNet	
IL12B	C0019372	Herpesviridae Infections	DisGeNet	
IL12B	C0019693	Symptomatic human immunodeficiency virus infection	DisGeNet	
IL12B	C0019829	Hodgkin Disease	DisGeNet	
IL12B	C0020179	Huntington's chorea	DisGeNet	
IL12B	C0020456	Hyperglycemia	DisGeNet	
IL12B	C0020458	Hyperhidrosis	HumPhenOnt	
IL12B	C0020523	Immediate hypersensitivity	DisGeNet	
IL12B	C0020538	Hypertension	DisGeNet,HumPhenOnt	
IL12B	C0020620	Hypohidrosis	HumPhenOnt	
IL12B	C0020672	Hypothermia	DisGeNet	
IL12B	C0021051	Immunodeficiency due to defect in CD3-gamma	HumPhenOnt	
IL12B	C0021053	Immune dysfunction with T-cell inactivation due to calcium entry defect 1	DisGeNet	
IL12B	C0021368	Inflammation	DisGeNet	
IL12B	C0021390	Inflammatory Bowel Diseases	DisGeNet	
IL12B	C0021831	Abnormality of the intestine	DisGeNet	
IL12B	C0022568	Keratitis	DisGeNet	
IL12B	C0022658	Kidney Diseases	DisGeNet	
IL12B	C0022876	Premature Obstetric Labor	DisGeNet	
IL12B	C0023343	Leprosy	DisGeNet	
IL12B	C0023348	Leprosy, Lepromatous	DisGeNet	
IL12B	C0023364	Leptospirosis	DisGeNet	
IL12B	C0023891	Liver Cirrhosis, Alcoholic	DisGeNet	
IL12B	C0023892	Biliary cirrhosis	DisGeNet	
IL12B	C0023903	Neoplasm of the liver	DisGeNet	
IL12B	C0024115	Pulmonary Disease, Chronic Obstructive	DisGeNet	
IL12B	C0024117	Chronic obstructive pulmonary disease	DisGeNet	
IL12B	C0024137	Lupus Erythematosus, Cutaneous	DisGeNet	
IL12B	C0024141	Lupus Erythematosus, Systemic	DisGeNet	
IL12B	C0024143	Lupus Nephritis	DisGeNet	
IL12B	C0024232	Lymphatic Metastasis	DisGeNet	
IL12B	C0024299	Lymphoma, Large B-Cell, Diffuse	DisGeNet	
IL12B	C0024301	Lymphoma, Follicular	DisGeNet	
IL12B	C0024305	Non-Hodgkin lymphoma	DisGeNet	
IL12B	C0024530	Malaria	DisGeNet	
IL12B	C0024534	Malaria, Cerebral	DisGeNet	
